date,Open,High,Low,Values,Adj Close,Volume
17-12-2021,284.7999878,285.4500122,269.2999878,276.3999939,274.6559448,5805872
20-12-2021,269.8999939,269.8999939,249.3000031,256,254.3846588,6538589
21-12-2021,261,269.8500061,256.1000061,261.6000061,259.9493408,3658203
22-12-2021,264.7000122,277,262.1000061,273.8500061,272.1220398,4074720
23-12-2021,274.5,279.5,271.6499939,273.5,271.774231,3122650
24-12-2021,273,273.5,260.1499939,263,261.3404846,4466041
27-12-2021,259,268.7999878,255.8000031,267,265.3152466,3446719
28-12-2021,269.75,277.2999878,263.2000122,268.9500122,267.2529602,5212676
29-12-2021,265.7999878,269.8999939,261.3999939,263.7999878,262.135437,2723694
30-12-2021,257.2000122,260.9500122,248.1999969,251.3500061,249.7640076,6287499
31-12-2021,252.3999939,260.7000122,247.1000061,259.2000122,257.5644836,5921077
03-01-2022,259.3999939,261.7999878,255.1999969,258.5499878,256.9185486,4205833
04-01-2022,257,264,251,258.0499878,256.4217224,4291446
05-01-2022,256,262.6000061,255,259.7000122,258.0613098,2466423
06-01-2022,257.25,273.2000122,256.25,272.0499878,270.333374,6837593
07-01-2022,274,282.6499939,268.2000122,277.75,275.997406,9457473
10-01-2022,278.25,282,276.0499878,280.3999939,278.6306763,3421563
11-01-2022,282,287.7999878,279.25,282.8500061,281.0652466,6523367
12-01-2022,298.5,299,287.0499878,291.75,289.9090881,17169134
13-01-2022,288.5,294.75,286.5499878,292.5499878,290.70401,5952224
14-01-2022,293.2999878,306.6499939,290.5,295.9500122,294.0825806,14935941
17-01-2022,295.9500122,301.3999939,289.1000061,296.1000061,294.2316284,4993503
18-01-2022,297.6000061,299.8999939,280.5,282.5,280.7174377,4250754
19-01-2022,284.1499939,295,278.6000061,293.75,291.8964539,7960603
20-01-2022,292.8999939,294.3999939,289.1499939,292.1499939,290.3065491,2563764
21-01-2022,291.8999939,301.4500122,283,286.3500061,284.5431519,9236125
24-01-2022,286,289.1000061,264.6499939,267.2000122,265.5140076,5567348
25-01-2022,262,278.8999939,261.3500061,277.3500061,275.5999451,4587378
